"node_id","node_type","layer","label","degree","weighted_degree","in_degree","out_degree","betweenness_centrality","eigenvector_centrality","component_id"
"IHR24-CHG-028","ihr2024_change","update_review_layer","IHR 2024 Article 21 — modified points of entry requirement","1","1.5","0","1","0.0","1e-06","0"
"IHR24-CHG-029","ihr2024_change","update_review_layer","IHR 2024 Article 24 — modified points of entry requirement","1","1.5","0","1","0.0","1e-06","0"
"IHR24-CHG-030","ihr2024_change","update_review_layer","IHR 2024 Article 27 — modified response obligation","1","1.5","0","1","0.0","1e-06","0"
"IHR24-CHG-031","ihr2024_change","update_review_layer","IHR 2024 Article 28 — modified points of entry requirement","0","0","0","0","0.0","1e-06","16"
"IHR24-CHG-032","ihr2024_change","update_review_layer","IHR 2024 Article 35 — modified documentation requirement","1","1.5","0","1","0.0","1e-06","0"
"IHR24-CHG-033","ihr2024_change","update_review_layer","IHR 2024 Article 37 — modified documentation requirement","1","1.5","0","1","0.0","1e-06","0"
"IHR24-CHG-034","ihr2024_change","update_review_layer","IHR 2024 Article 43 — modified health measures/traveller safeguards","3","4.5","0","3","0.0","1e-06","0"
"IHR24-CHG-035","ihr2024_change","update_review_layer","IHR 2024 Article 44 — modified collaboration/assistance/financing requirement","1","1.5","0","1","0.0","1e-06","0"
"IHR24-CHG-036","ihr2024_change","update_review_layer","IHR 2024 Article 44 — modified collaboration/assistance/financing requirement","1","1.5","0","1","0.0","1e-06","0"
"IHR24-CHG-037","ihr2024_change","update_review_layer","IHR 2024 Article 44 — new financing mechanism","1","1.5","0","1","0.0","1e-06","0"
"IHR24-CHG-038","ihr2024_change","update_review_layer","IHR 2024 Article 44 — new financing mechanism","1","1.5","0","1","0.0","1e-06","0"
"IHR24-CHG-039","ihr2024_change","update_review_layer","IHR 2024 Article 44 bis — new financing mechanism","0","0","0","0","0.0","1e-06","17"
"IHR24-CHG-040","ihr2024_change","update_review_layer","IHR 2024 Article 45 — modified personal data requirement","1","1.5","0","1","0.0","1e-06","0"
"IHR24-CHG-041","ihr2024_change","update_review_layer","IHR 2024 Article 48 — modified emergency committee procedure","0","0","0","0","0.0","1e-06","18"
"IHR24-CHG-042","ihr2024_change","update_review_layer","IHR 2024 Article 48 — modified emergency committee procedure","0","0","0","0","0.0","1e-06","19"
"IHR24-CHG-043","ihr2024_change","update_review_layer","IHR 2024 Article 48 — modified emergency committee procedure","0","0","0","0","0.0","1e-06","20"
"IHR24-CHG-044","ihr2024_change","update_review_layer","IHR 2024 Article 49 — modified emergency committee procedure","0","0","0","0","0.0","1e-06","21"
"IHR24-CHG-045","ihr2024_change","update_review_layer","IHR 2024 Article 54 — modified reporting/review requirement","0","0","0","0","0.0","1e-06","22"
